"createdat","productid","sum_revenue","sum_consumption"
"2018-01-01",1000,"8668.646764","106514"
"2018-01-01",1001,"2862.561287","22576"
"2018-01-01",1002,"9985.367324","84069"
"2018-01-01",2001,"2368.878496","118293"
"2018-01-02",1000,"3974.678355","51585"
"2018-01-02",1001,"2593.369808","21550"
"2018-01-02",1002,"1243.453018","10132"
"2018-01-03",1000,"3880.893266","44211"
"2018-01-03",1001,"2453.957046","21552"
"2018-01-03",1002,"2763.264478","24370"
"2018-01-04",1000,"1039.266735","17238"
"2018-01-04",1001,"4709.050290","36982"
"2018-01-04",1002,"3850.232655","31541"
"2018-01-04",2000,NULL,"17307"
"2018-01-04",2001,"1232.092099","67573"
"2018-01-05",1000,"6962.340557","82205"
"2018-01-05",1001,"8080.826827","67479"
"2018-01-05",1002,"2497.450088","21010"
"2018-01-05",2000,NULL,"19419"
"2018-01-05",2001,"1260.729042","58500"
"2018-01-06",1000,"2529.982148","28994"
"2018-01-06",1001,"4026.662152","31350"
"2018-01-06",1002,"6810.219279","57378"
"2018-01-06",2000,NULL,"11659"
"2018-01-07",1000,"4167.326102","51327"
"2018-01-07",1001,"3279.450027","27530"
"2018-01-07",1002,"1770.280984","14995"
"2018-01-08",1000,"3587.580727","45450"
"2018-01-08",1001,"1873.078307","15444"
"2018-01-08",1002,"5466.772183","49267"
"2018-01-08",2000,NULL,"11842"
"2018-01-08",2001,"1063.277507","43880"
"2018-01-09",1000,"4025.252809","52621"
"2018-01-09",1001,"1240.255841","10295"
"2018-01-09",1002,"5009.402349","46782"
"2018-01-10",1000,"3417.925218","39389"
"2018-01-10",1001,"5520.023770","45935"
"2018-01-10",1002,"3831.530770","33909"
"2018-01-10",2000,NULL,"11972"
"2018-01-10",2001,"1615.586907","80641"
"2018-01-11",1000,"3120.934475","38438"
"2018-01-11",1001,"1681.781309","16620"
"2018-01-11",1002,"2991.408929","26182"
"2018-01-11",2000,NULL,"7893"
"2018-01-12",1000,"5700.543078","73008"
"2018-01-12",1001,"3134.148328","26150"
"2018-01-12",1002,"3912.914977","31820"
"2018-01-12",2000,NULL,"10926"
"2018-01-12",2001,"947.844785","46376"
"2018-01-13",1000,"4357.901161","49877"
"2018-01-13",1001,"1251.648164","10064"
"2018-01-13",1002,"2923.755277","24680"
"2018-01-13",2001,"893.702602","38500"
"2018-01-14",1000,"3207.772972","40066"
"2018-01-14",1001,"1742.797645","11756"
"2018-01-14",1002,"3617.188528","29016"
"2018-01-14",2000,NULL,"20230"
"2018-01-14",2001,"722.789932","33124"
"2018-01-15",1000,"3038.989427","34572"
"2018-01-15",1001,"5315.080323","43309"
"2018-01-15",1002,"2680.237812","22558"
"2018-01-15",2000,NULL,"8380"
"2018-01-15",2001,"2699.751733","128553"
"2018-01-16",1000,"3306.274137","44011"
"2018-01-16",1001,"1109.971397","7928"
"2018-01-16",1002,"4275.862232","36075"
"2018-01-16",2001,"1937.695918","94450"
"2018-01-17",1000,"4486.573389","51576"
"2018-01-17",1001,"5619.070653","45616"
"2018-01-17",2000,NULL,"17179"
"2018-01-17",2001,"993.872192","48500"
"2018-01-18",1000,"8563.184551","101316"
"2018-01-18",1001,"2732.713003","21528"
"2018-01-18",1002,"885.002602","9500"
"2018-01-18",2000,NULL,"40915"
"2018-01-19",1000,"7542.478484","85415"
"2018-01-19",1001,"7369.994251","62316"
"2018-01-19",2000,NULL,"10636"
"2018-01-20",1000,"6729.133408","74971"
"2018-01-20",1001,"8250.565478","69811"
"2018-01-20",1002,"4784.814956","44119"
"2018-01-20",2000,NULL,"22975"
"2018-01-20",2001,"920.173373","44745"
"2018-01-21",1000,"4394.511268","52844"
"2018-01-21",1001,"2894.909638","23674"
"2018-01-21",1002,"2843.024458","23985"
"2018-01-21",2000,NULL,"9634"
"2018-01-21",2001,"160.174855","22686"
"2018-01-22",1000,"1732.973336","20504"
"2018-01-22",1001,"5755.560616","51142"
"2018-01-22",1002,"2109.143414","20232"
"2018-01-22",2001,"569.090595","22782"
"2018-01-23",1000,"3330.146295","41538"
"2018-01-23",1001,"9114.344793","73337"
"2018-01-23",1002,"4350.895034","39177"
"2018-01-23",2000,NULL,"29465"
"2018-01-23",2001,"2210.312855","108340"
"2018-01-24",1000,"5713.648219","68877"
"2018-01-24",1001,"6703.989305","53582"
"2018-01-24",1002,"4882.705805","40591"
"2018-01-24",2000,NULL,"19805"
"2018-01-24",2001,"91.893288","23212"
"2018-01-25",1000,"2641.362397","33509"
"2018-01-25",1001,"2637.988301","23456"
"2018-01-25",1002,"2449.896261","21375"
"2018-01-25",2001,"827.374860","37392"
"2018-01-26",1000,"3082.184877","35455"
"2018-01-26",1001,"3575.107939","31502"
"2018-01-26",1002,"5959.023628","50320"
"2018-01-26",2000,NULL,"8676"
"2018-01-27",1000,"6965.709533","78031"
"2018-01-27",1001,"1783.973375","14920"
"2018-01-27",1002,"6799.814942","63454"
"2018-01-27",2000,NULL,"30238"
"2018-01-27",2001,"1233.712290","60720"
"2018-01-28",1000,"2300.131579","27858"
"2018-01-28",1001,"3261.701523","27235"
"2018-01-28",1002,"2854.334371","25481"
"2018-01-28",2001,"705.656712","32000"
"2018-01-29",1000,"5324.399591","69850"
"2018-01-29",1001,"6967.568433","54974"
"2018-01-29",1002,"5351.566507","44223"
"2018-01-29",2001,"585.049588","41600"
"2018-01-30",1000,"1662.466495","19145"
"2018-01-30",1001,"4697.107874","39190"
"2018-01-30",1002,"231.629035","6634"
"2018-01-30",2000,NULL,"50921"
"2018-01-31",1000,"4488.417386","61478"
"2018-01-31",1001,"3051.107924","27774"
"2018-01-31",1002,"4360.426400","35736"
"2018-01-31",2000,NULL,"26688"
"2018-02-01",1001,"3190.216949","27451"
"2018-02-01",1002,"1323.067093","11145"
"2018-02-01",2000,NULL,"8855"
"2018-02-01",2001,"2128.796051","116891"
"2018-02-02",1000,"2836.188236","37695"
"2018-02-02",1001,"6400.404690","58576"
"2018-02-02",1002,"4519.797083","38175"
"2018-02-02",2000,NULL,"12912"
"2018-02-03",1000,"3019.657453","32768"
"2018-02-03",1001,"3048.153635","31016"
"2018-02-03",1002,"2653.810290","25490"
"2018-02-04",1000,"5673.888841","64836"
"2018-02-04",1001,"1373.973973","13630"
"2018-02-04",1002,"3525.528569","31799"
"2018-02-05",1000,"5888.774886","67662"
"2018-02-05",1001,"2957.219704","24645"
"2018-02-05",1002,"3211.579384","31266"
"2018-02-05",2000,NULL,"37428"
"2018-02-05",2001,"841.567841","40740"
"2018-02-06",1000,"1126.113023","14766"
"2018-02-06",1001,"3732.040125","32432"
"2018-02-06",1002,"4800.704766","44273"
"2018-02-07",1000,"3990.847899","45636"
"2018-02-07",1001,"6394.263779","51612"
"2018-02-07",1002,"2241.738500","19636"
"2018-02-07",2001,"92.000685","23244"
"2018-02-08",1000,"6724.052315","84938"
"2018-02-08",1001,"2966.700346","22526"
"2018-02-08",1002,"2084.952106","18035"
"2018-02-08",2000,NULL,"23213"
"2018-02-08",2001,"2018.315923","102334"
"2018-02-09",1000,"1298.783967","14004"
"2018-02-09",1001,"4591.188249","41058"
"2018-02-09",1002,"5305.714407","46075"
"2018-02-09",2000,NULL,"9632"
"2018-02-10",1000,"4279.200495","50235"
"2018-02-10",1001,"3525.824507","28742"
"2018-02-10",1002,"5518.297254","44965"
"2018-02-10",2000,NULL,"10016"
"2018-02-10",2001,"2956.732436","129379"
"2018-02-11",1000,"1736.544433","20013"
"2018-02-11",1001,"2935.363185","21132"
"2018-02-11",1002,"4798.810643","38373"
"2018-02-11",2001,"1544.787843","86137"
"2018-02-12",1000,"4457.410385","50622"
"2018-02-12",1001,"6319.308213","51461"
"2018-02-12",1002,"3774.032458","32918"
"2018-02-12",2001,"426.303118","20206"
"2018-02-13",1000,"2019.866213","24753"
"2018-02-13",1002,"6500.970030","56855"
"2018-02-13",2000,NULL,"9770"
"2018-02-14",1000,"1387.522602","17262"
"2018-02-14",1001,"3168.190340","24627"
"2018-02-14",1002,"523.512400","4416"
"2018-02-14",2001,"1829.814936","85920"
"2018-02-15",1000,"2734.358006","30288"
"2018-02-15",1001,"3196.557221","26752"
"2018-02-15",1002,"3365.146164","26680"
"2018-02-15",2000,NULL,"21469"
"2018-02-16",1000,"4620.989005","53151"
"2018-02-16",1002,"1877.608440","17148"
"2018-02-16",2001,"989.946822","48300"
"2018-02-17",1000,"1396.622275","16030"
"2018-02-17",1001,"5764.721063","45415"
"2018-02-17",1002,"1565.840348","13235"
"2018-02-17",2001,"1162.663096","57100"
"2018-02-18",1000,"5208.021198","61743"
"2018-02-18",1001,"4251.256996","37891"
"2018-02-18",1002,"5709.580704","48045"
"2018-02-18",2000,NULL,"22137"
"2018-02-19",1000,"963.005205","14100"
"2018-02-19",1001,"1211.583706","11596"
"2018-02-19",1002,"9136.117806","77685"
"2018-02-19",2001,"1453.271522","75504"
"2018-02-20",1000,"2042.284346","27501"
"2018-02-20",1001,"4154.586903","34158"
"2018-02-20",1002,"7387.407221","65781"
"2018-02-20",2000,NULL,"22258"
"2018-02-20",2001,"3047.968587","145530"
"2018-02-21",1000,"4548.686954","50042"
"2018-02-21",1001,"7914.394761","64060"
"2018-02-21",1002,"5564.280624","44106"
"2018-02-21",2000,NULL,"8639"
"2018-02-21",2001,"1862.478471","85452"
"2018-02-22",1000,"2414.637436","29259"
"2018-02-22",1001,"4195.948308","33038"
"2018-02-22",1002,"4582.523187","38715"
"2018-02-23",1000,"1488.146128","18544"
"2018-02-23",1001,"11703.481677","100749"
"2018-02-23",1002,"4536.839060","36543"
"2018-02-23",2001,"233.338165","17664"
"2018-02-24",1000,"2572.763585","37592"
"2018-02-24",1001,"7736.098998","62207"
"2018-02-25",1000,"3208.355277","45530"
"2018-02-25",1001,"2379.310388","20816"
"2018-02-25",1002,"4481.627857","38542"
"2018-02-25",2000,NULL,"10730"
"2018-02-25",2001,"1031.752011","50430"
"2018-02-26",1000,"3064.342910","32677"
"2018-02-26",1001,"2591.046904","20160"
"2018-02-26",1002,"3901.023243","31890"
"2018-02-26",2000,NULL,"10758"
"2018-02-27",1000,"2366.757869","29940"
"2018-02-27",1002,"2679.752883","22194"
"2018-02-28",1000,"3897.810847","45515"
"2018-02-28",1001,"2083.109311","18661"
"2018-02-28",1002,"1487.535112","12112"
"2018-02-28",2000,NULL,"16949"
"2018-02-28",2001,"1025.330698","44420"
"2018-03-01",1000,"3141.327749","36148"
"2018-03-01",1001,"6876.619955","54210"
"2018-03-01",1002,"4265.428554","36420"
"2018-03-01",2001,"1128.119841","55340"
"2018-03-02",1000,"7022.486414","80856"
"2018-03-02",1001,"2282.601222","20420"
"2018-03-02",1002,"1589.532325","15818"
"2018-03-02",2001,"1039.447532","41916"
"2018-03-03",1000,"4029.583519","51004"
"2018-03-03",1001,"5027.503554","41350"
"2018-03-03",1002,"4356.593052","36770"
"2018-03-04",1000,"3963.863261","48497"
"2018-03-04",1001,"5007.157709","42049"
"2018-03-04",1002,"1712.782055","14500"
"2018-03-05",1000,"3145.399414","38422"
"2018-03-05",1001,"4824.991084","39975"
"2018-03-05",1002,"2171.370052","21345"
"2018-03-05",2001,"2536.054818","128653"
"2018-03-06",1000,"6149.039879","67828"
"2018-03-06",1001,"5892.381863","48129"
"2018-03-06",1002,"4731.345363","43941"
"2018-03-07",1000,"1222.927188","15828"
"2018-03-07",1001,"957.923638","8104"
"2018-03-07",1002,"3856.718732","34219"
"2018-03-07",2000,NULL,"20077"
"2018-03-08",1000,"4106.369210","56143"
"2018-03-08",1001,"5234.318516","43184"
"2018-03-08",1002,"2058.125806","17145"
"2018-03-09",1000,"2637.263636","29306"
"2018-03-09",1001,"6944.014390","57860"
"2018-03-09",1002,"1801.644036","15265"
"2018-03-09",2000,NULL,"9180"
"2018-03-10",1000,"4045.623627","48861"
"2018-03-10",1001,"3548.796658","31985"
"2018-03-10",1002,"4314.194853","36405"
"2018-03-10",2001,"2202.167713","107925"
"2018-03-11",1000,"2806.387411","32214"
"2018-03-11",1001,"3397.899468","31712"
"2018-03-11",1002,"2931.305641","24745"
"2018-03-11",2001,"1105.098000","43964"
"2018-03-12",1000,"3114.353804","35565"
"2018-03-12",1001,"2170.472406","19154"
"2018-03-12",1002,"956.584663","10584"
"2018-03-12",2001,"1167.079137","57325"
"2018-03-13",1000,"3572.793961","40949"
